exec_seq	query	run_index	kind	busy_us	idle_us	line_no
86	job_q01_top_production	20	sample	55.0	3.83	91213590
87	job_q01_top_production	21	sample	56.9	3.87	91213602
88	job_q01_top_production	22	sample	63.5	4.79	91213614
89	job_q01_top_production	23	sample	56.6	3.83	91213626
90	job_q01_top_production	24	sample	62.4	3.96	91213638
91	job_q01_top_production	25	sample	57.7	4.0	91213650
92	job_q01_top_production	26	sample	57.8	4.04	91213662
93	job_q01_top_production	27	sample	55.7	3.88	91213674
94	job_q01_top_production	28	sample	55.6	3.92	91213686
95	job_q01_top_production	29	sample	56.7	3.92	91213698
96	job_q01_top_production	30	sample	55.9	3.96	91213710
97	job_q01_top_production	31	sample	57.9	3.88	91213722
98	job_q01_top_production	32	sample	56.5	3.92	91213734
99	job_q09_voice_us_actor	0	prepare	983000.0	8.92	91261347
100	job_q09_voice_us_actor	1	warmup	304000.0	13.6	91308881
101	job_q09_voice_us_actor	2	warmup	293000.0	3.71	91356415
102	job_q09_voice_us_actor	3	sample	303000.0	11.6	91403949
103	job_q09_voice_us_actor	4	sample	302000.0	4.25	91451483
104	job_q09_voice_us_actor	5	sample	288000.0	5.04	91499017
105	job_q09_voice_us_actor	6	sample	295000.0	5.08	91546551
106	job_q09_voice_us_actor	7	sample	290000.0	9.21	91594085
107	job_q09_voice_us_actor	8	sample	288000.0	4.42	91641619
108	job_q09_voice_us_actor	9	sample	298000.0	5.08	91689153
109	job_q09_voice_us_actor	10	sample	314000.0	9.04	91736687
110	job_q09_voice_us_actor	11	sample	296000.0	4.88	91784221
111	job_q09_voice_us_actor	12	sample	293000.0	4.67	91831755
112	job_q09_voice_us_actor	13	sample	310000.0	5.38	91879289
113	job_q09_voice_us_actor	14	sample	297000.0	5.08	91926823
114	job_q09_voice_us_actor	15	sample	290000.0	5.92	91974357
115	job_q09_voice_us_actor	16	sample	297000.0	4.88	92021891
116	job_q09_voice_us_actor	17	sample	291000.0	4.17	92069425
117	job_q09_voice_us_actor	18	sample	291000.0	4.46	92116959
118	job_q09_voice_us_actor	19	sample	301000.0	3.63	92164493
119	job_q09_voice_us_actor	20	sample	296000.0	4.29	92212027
120	job_q09_voice_us_actor	21	sample	330000.0	5.5	92259561
121	job_q09_voice_us_actor	22	sample	289000.0	8.5	92307095
122	job_q09_voice_us_actor	23	sample	294000.0	4.67	92354629
123	job_q09_voice_us_actor	24	sample	285000.0	3.62	92402163
124	job_q09_voice_us_actor	25	sample	308000.0	3.29	92449697
125	job_q09_voice_us_actor	26	sample	304000.0	4.04	92497231
126	job_q09_voice_us_actor	27	sample	292000.0	8.25	92544765
127	job_q09_voice_us_actor	28	sample	292000.0	4.67	92592299
128	job_q09_voice_us_actor	29	sample	294000.0	4.08	92639833
129	job_q09_voice_us_actor	30	sample	297000.0	5.21	92687367
130	job_q09_voice_us_actor	31	sample	289000.0	4.96	92734901
131	job_q09_voice_us_actor	32	sample	285000.0	4.08	92782435
132	job_q16_character_title_us	0	prepare	623.0	9.71	92782456
133	job_q16_character_title_us	1	warmup	86.0	6.46	92782468
134	job_q16_character_title_us	2	warmup	65.8	4.08	92782480
135	job_q16_character_title_us	3	sample	108.0	11.5	92782492
136	job_q16_character_title_us	4	sample	72.2	4.21	92782504
137	job_q16_character_title_us	5	sample	66.6	4.12	92782516
138	job_q16_character_title_us	6	sample	61.6	4.0	92782528
139	job_q16_character_title_us	7	sample	64.8	3.96	92782540
140	job_q16_character_title_us	8	sample	64.7	3.88	92782552
141	job_q16_character_title_us	9	sample	60.3	3.88	92782564
142	job_q16_character_title_us	10	sample	60.1	3.92	92782576
143	job_q16_character_title_us	11	sample	60.4	3.83	92782588
144	job_q16_character_title_us	12	sample	60.0	3.92	92782600
145	job_q16_character_title_us	13	sample	59.8	3.96	92782612
146	job_q16_character_title_us	14	sample	60.0	3.96	92782624
147	job_q16_character_title_us	15	sample	59.7	3.88	92782636
148	job_q16_character_title_us	16	sample	59.6	3.88	92782648
149	job_q16_character_title_us	17	sample	69.3	4.75	92782660
150	job_q16_character_title_us	18	sample	60.3	3.87	92782672
151	job_q16_character_title_us	19	sample	59.9	3.87	92782684
152	job_q16_character_title_us	20	sample	59.7	3.88	92782696
153	job_q16_character_title_us	21	sample	60.0	3.88	92782708
154	job_q16_character_title_us	22	sample	60.2	3.92	92782720
155	job_q16_character_title_us	23	sample	59.8	3.92	92782732
156	job_q16_character_title_us	24	sample	59.4	3.79	92782744
157	job_q16_character_title_us	25	sample	60.3	3.83	92782756
158	job_q16_character_title_us	26	sample	60.0	3.83	92782768
159	job_q16_character_title_us	27	sample	60.7	4.0	92782780
160	job_q16_character_title_us	28	sample	59.5	4.0	92782792
161	job_q16_character_title_us	29	sample	60.0	4.04	92782804
162	job_q16_character_title_us	30	sample	59.8	3.92	92782816
163	job_q16_character_title_us	31	sample	59.5	3.92	92782828
164	job_q16_character_title_us	32	sample	59.8	3.87	92782840
165	job_q24_voice_keyword_actor	0	prepare	37200.0	9.96	92783339
166	job_q24_voice_keyword_actor	1	warmup	3170.0	10.4	92783803
167	job_q24_voice_keyword_actor	2	warmup	2710.0	4.38	92784267
168	job_q24_voice_keyword_actor	3	sample	3180.0	10.7	92784731
169	job_q24_voice_keyword_actor	4	sample	2730.0	4.67	92785195
170	job_q24_voice_keyword_actor	5	sample	2580.0	4.29	92785659
171	job_q24_voice_keyword_actor	6	sample	2670.0	3.92	92786123
172	job_q24_voice_keyword_actor	7	sample	2650.0	5.25	92786587
173	job_q24_voice_keyword_actor	8	sample	2640.0	4.0	92787051
174	job_q24_voice_keyword_actor	9	sample	2690.0	3.88	92787515
175	job_q24_voice_keyword_actor	10	sample	2650.0	3.92	92787979
176	job_q24_voice_keyword_actor	11	sample	2660.0	3.88	92788443
177	job_q24_voice_keyword_actor	12	sample	2620.0	3.92	92788907
178	job_q24_voice_keyword_actor	13	sample	2590.0	3.92	92789371
179	job_q24_voice_keyword_actor	14	sample	2680.0	3.92	92789835
180	job_q24_voice_keyword_actor	15	sample	2620.0	3.92	92790299
181	job_q24_voice_keyword_actor	16	sample	2630.0	3.83	92790763
182	job_q24_voice_keyword_actor	17	sample	2670.0	3.79	92791227
183	job_q24_voice_keyword_actor	18	sample	2680.0	4.04	92791691
184	job_q24_voice_keyword_actor	19	sample	2600.0	4.04	92792155
185	job_q24_voice_keyword_actor	20	sample	2640.0	3.88	92792619
186	job_q24_voice_keyword_actor	21	sample	2680.0	3.88	92793083
187	job_q24_voice_keyword_actor	22	sample	2630.0	4.17	92793547
188	job_q24_voice_keyword_actor	23	sample	2700.0	4.0	92794011
189	job_q24_voice_keyword_actor	24	sample	2710.0	3.88	92794475
190	job_q24_voice_keyword_actor	25	sample	2630.0	12.3	92794939
191	job_q24_voice_keyword_actor	26	sample	2620.0	3.88	92795403
192	job_q24_voice_keyword_actor	27	sample	2650.0	3.96	92795867
193	job_q24_voice_keyword_actor	28	sample	2620.0	3.92	92796331
194	job_q24_voice_keyword_actor	29	sample	2690.0	3.88	92796795
195	job_q24_voice_keyword_actor	30	sample	2610.0	3.83	92797259
196	job_q24_voice_keyword_actor	31	sample	2600.0	3.87	92797723
197	job_q24_voice_keyword_actor	32	sample	2690.0	3.96	92798187
198	job_movie_link_bridge	0	prepare	2260.0	8.04	92798225
199	job_movie_link_bridge	1	warmup	1080.0	10.3	92798247
200	job_movie_link_bridge	2	warmup	886.0	4.12	92798269
201	job_movie_link_bridge	3	sample	1190.0	11.5	92798291
202	job_movie_link_bridge	4	sample	881.0	5.08	92798313
203	job_movie_link_bridge	5	sample	1100.0	4.21	92798335
204	job_movie_link_bridge	6	sample	956.0	4.29	92798357
205	job_movie_link_bridge	7	sample	846.0	4.08	92798379
206	job_movie_link_bridge	8	sample	841.0	4.29	92798401
207	job_movie_link_bridge	9	sample	834.0	3.83	92798423
208	job_movie_link_bridge	10	sample	839.0	3.88	92798445
209	job_movie_link_bridge	11	sample	833.0	3.92	92798467
210	job_movie_link_bridge	12	sample	839.0	3.88	92798489
211	job_movie_link_bridge	13	sample	935.0	3.92	92798511
212	job_movie_link_bridge	14	sample	972.0	4.46	92798533
213	job_movie_link_bridge	15	sample	846.0	4.04	92798555
214	job_movie_link_bridge	16	sample	939.0	5.04	92798577
215	job_movie_link_bridge	17	sample	905.0	4.79	92798599
216	job_movie_link_bridge	18	sample	881.0	4.29	92798621
217	job_movie_link_bridge	19	sample	865.0	5.0	92798643
218	job_movie_link_bridge	20	sample	839.0	4.0	92798665
219	job_movie_link_bridge	21	sample	851.0	3.92	92798687
220	job_movie_link_bridge	22	sample	840.0	3.92	92798709
221	job_movie_link_bridge	23	sample	846.0	3.79	92798731
222	job_movie_link_bridge	24	sample	919.0	4.04	92798753
223	job_movie_link_bridge	25	sample	1090.0	5.67	92798775
224	job_movie_link_bridge	26	sample	923.0	4.08	92798797
